order_product_id,order_id,product_id,quantity,price_unit
1,1,1,1.0,25.99
2,1,2,2.0,45.5
3,2,3,1.0,199.99
4,3,4,3.0,499.0
5,3,2,1.0,45.5
6,4,3,2.0,199.99
7,5,5,1.0,249.99
8,5,1,1.0,25.99
9,5,4,1.0,499.0
10,6,6,2.0,899.99
11,7,5,1.0,249.99
12,8,2,3.0,45.5
13,9,6,1.0,899.99
14,9,1,2.0,25.99
15,9,3,1.0,199.99
16,10,2,1.0,45.5
17,11,4,2.0,499.0
18,12,3,1.0,199.99
19,13,1,1.0,25.99
20,13,6,2.0,899.99
21,14,5,2.0,249.99
22,15,2,1.0,45.5
23,16,4,3.0,499.0
24,17,3,1.0,199.99
25,18,1,2.0,25.99
26,19,4,1.0,499.0
27,20,5,2.0,249.99
28,21,6,1.0,899.99
29,21,2,3.0,45.5
30,22,3,1.0,199.99
31,23,1,2.0,25.99
32,24,5,1.0,249.99
33,25,6,2.0,899.99
34,26,4,1.0,499.0
35,27,3,1.0,199.99
36,28,2,3.0,45.5
37,29,1,1.0,25.99
38,29,4,2.0,499.0
39,30,6,1.0,899.99
40,31,2,1.0,45.5
41,32,5,2.0,249.99
42,33,3,1.0,199.99
43,33,1,2.0,25.99
44,34,6,1.0,899.99
45,34,2,3.0,45.5
46,34,4,1.0,499.0
47,35,3,2.0,199.99
48,35,1,1.0,25.99
49,36,5,2.0,249.99
50,37,6,1.0,899.99
51,38,4,1.0,499.0
52,39,2,1.0,45.5
53,40,3,2.0,199.99
54,41,1,1.0,25.99
55,41,5,1.0,249.99
56,42,6,1.0,899.99
57,43,2,1.0,45.5
58,44,3,1.0,199.99
59,45,5,2.0,249.99
60,46,1,2.0,25.99
61,47,6,2.0,899.99
62,48,2,1.0,45.5
63,49,5,1.0,249.99
64,50,4,3.0,499.0
65,51,1,1.0,25.99
66,51,3,1.0,199.99
67,52,6,1.0,899.99
68,53,2,3.0,45.5
69,54,3,1.0,199.99
70,55,5,2.0,249.99
71,55,1,2.0,25.99
72,56,6,1.0,899.99
73,57,4,1.0,499.0
74,58,2,2.0,45.5
75,59,3,1.0,199.99
76,60,1,1.0,25.99
77,61,5,2.0,249.99
78,61,6,1.0,899.99
79,62,2,1.0,45.5
80,62,3,2.0,199.99
81,62,1,2.0,25.99
82,63,4,1.0,499.0
83,64,6,1.0,899.99
84,65,5,1.0,249.99
85,66,3,1.0,199.99
86,67,2,3.0,45.5
87,68,4,2.0,499.0
88,69,1,1.0,25.99
89,70,6,2.0,899.99
90,71,3,1.0,199.99
91,71,1,2.0,25.99
92,72,4,1.0,499.0
93,73,6,1.0,899.99
94,74,2,1.0,45.5
95,74,1,1.0,25.99
96,75,5,1.0,249.99
97,76,3,2.0,199.99
98,77,2,3.0,45.5
99,78,4,2.0,499.0
100,79,6,1.0,899.99
