order_id,client_id,payment_id,order_date,status,total_amount
1,1,1,2024-06-01,Pending,116.99
2,2,1,2024-06-02,Shipped,199.99
3,3,4,2024-06-03,Completed,1542.5
4,4,3,2024-06-04,Pending,399.98
5,5,1,2024-06-05,Shipped,774.98
6,6,2,2024-06-06,Completed,1799.98
7,7,1,2024-06-07,Pending,249.99
8,8,1,2024-06-08,Shipped,136.5
9,9,4,2024-06-09,Completed,1151.96
10,10,3,2024-06-10,Pending,45.5
11,11,3,2024-06-11,Shipped,998.0
12,12,1,2024-06-12,Completed,199.99
13,13,1,2024-06-13,Pending,1825.97
14,14,1,2024-06-14,Shipped,499.98
15,15,3,2024-06-15,Completed,45.5
16,16,3,2024-06-16,Pending,1497.0
17,17,2,2024-06-17,Shipped,199.99
18,18,1,2024-06-18,Completed,51.98
19,19,3,2024-06-19,Pending,499.0
20,20,1,2024-06-20,Shipped,499.98
21,21,1,2024-06-21,Completed,1036.49
22,22,4,2024-06-22,Pending,199.99
23,23,3,2024-06-23,Shipped,51.98
24,24,1,2024-06-24,Completed,249.99
25,25,3,2024-06-25,Pending,1799.98
26,26,4,2024-06-26,Shipped,499.0
27,27,2,2024-06-27,Completed,199.99
28,28,3,2024-06-28,Pending,136.5
29,29,1,2024-06-29,Shipped,1023.99
30,30,2,2024-06-30,Completed,899.99
31,31,1,2024-07-01,Pending,45.5
32,32,1,2024-07-02,Shipped,499.98
33,33,3,2024-07-03,Completed,251.97
34,34,3,2024-07-04,Pending,1535.49
35,35,1,2024-07-05,Shipped,425.97
36,36,1,2024-07-06,Completed,499.98
37,37,1,2024-07-07,Pending,899.99
38,38,1,2024-07-08,Shipped,499.0
39,39,3,2024-07-09,Completed,45.5
40,40,1,2024-07-10,Pending,399.98
41,41,3,2024-07-11,Shipped,275.98
42,42,1,2024-07-12,Completed,899.99
43,43,1,2024-07-13,Pending,45.5
44,44,3,2024-07-14,Shipped,199.99
45,45,1,2024-07-15,Completed,499.98
46,46,1,2024-07-16,Pending,51.98
47,47,2,2024-07-17,Shipped,1799.98
48,48,4,2024-07-18,Completed,45.5
49,49,4,2024-07-19,Pending,249.99
50,50,2,2024-07-20,Shipped,1497.0
51,51,2,2024-07-21,Completed,225.98
52,52,1,2024-07-22,Pending,899.99
53,53,3,2024-07-23,Shipped,136.5
54,54,1,2024-07-24,Completed,199.99
55,55,1,2024-07-25,Pending,551.96
56,56,1,2024-07-26,Shipped,899.99
57,57,1,2024-07-27,Completed,499.0
58,58,1,2024-07-28,Pending,91.0
59,59,3,2024-07-29,Shipped,199.99
60,60,1,2024-07-30,Completed,25.99
61,60,1,2024-07-31,Pending,1399.97
62,61,3,2024-08-01,Shipped,497.46
63,62,1,2024-08-02,Completed,499.0
64,63,1,2024-08-03,Pending,899.99
65,63,3,2024-08-04,Shipped,249.99
66,64,2,2024-08-05,Completed,199.99
67,65,4,2024-08-06,Pending,136.5
68,66,4,2024-08-07,Shipped,998.0
69,67,1,2024-08-08,Completed,25.99
70,67,3,2024-08-09,Pending,1799.98
71,68,4,2024-08-10,Shipped,251.97
72,80,1,2024-08-11,Completed,499.0
73,83,3,2024-08-12,Pending,899.99
74,81,1,2024-08-13,Shipped,71.49
75,105,1,2024-08-14,Completed,249.99
76,110,3,2024-08-15,Pending,399.98
77,200,1,2024-08-16,Shipped,136.5
78,74,1,2024-08-17,Completed,998.0
79,69,1,2024-08-18,Pending,899.99
80,92,1,2024-08-19,Shipped,51.98
81,100,1,2024-08-20,Completed,136.5
82,93,1,2024-08-21,Pending,499.0
83,95,3,2024-08-22,Shipped,2520.23
84,137,1,2024-08-23,Completed,1425.96
85,179,1,2024-08-24,Pending,2044.46
86,150,2,2024-08-25,Shipped,51.98
87,111,1,2024-08-26,Completed,136.5
88,198,3,2024-08-27,Pending,199.99
89,87,3,2024-08-28,Shipped,499.98
90,93,1,2024-08-29,Completed,2097.98
91,92,1,2024-08-30,Pending,25.99
92,110,4,2024-09-01,Shipped,249.99
93,139,2,2024-09-02,Completed,91.0
94,124,1,2024-09-03,Pending,499.0
95,178,1,2024-09-04,Shipped,899.99
96,184,3,2024-09-05,Completed,399.98
97,195,3,2024-09-06,Pending,597.46
98,147,2,2024-09-07,Shipped,1999.97
99,139,4,2024-09-08,Completed,1497.0
100,180,1,2024-09-09,Pending,25.99
