order_product_id,order_id,product_id,quantity,price_unit
101,80,1,2.0,25.99
102,81,2,3.0,45.5
103,82,4,1.0,499.0
104,83,5,1.0,249.99
105,83,3,1.0,199.99
106,83,2,45.5,45.5
107,84,1,1.0,25.99
108,84,6,1.0,899.99
109,84,5,2.0,249.99
110,85,2,1.0,45.5
111,85,3,3.0,199.99
112,85,6,1.0,899.99
113,85,4,1.0,499.0
114,86,1,2.0,25.99
115,87,2,3.0,45.5
116,88,3,1.0,199.99
117,89,5,2.0,249.99
118,90,6,1.0,899.99
119,90,4,2.0,499.0
120,90,3,1.0,199.99
121,91,1,1.0,25.99
122,92,5,1.0,249.99
123,93,2,2.0,45.5
124,94,4,1.0,499.0
125,95,6,1.0,899.99
126,96,3,2.0,199.99
127,97,1,2.0,25.99
128,97,5,2.0,249.99
129,97,2,1.0,45.5
130,98,3,1.0,199.99
131,98,6,2.0,899.99
132,99,4,3.0,499.0
133,100,1,1.0,25.99
134,101,5,1.0,249.99
135,102,3,1.0,199.99
136,102,2,1.0,45.5
137,102,6,2.0,899.99
138,103,4,1.0,499.0
139,103,5,1.0,249.99
140,103,1,2.0,25.99
141,103,2,2.0,45.5
142,103,6,1.0,899.99
143,104,3,1.0,199.99
144,104,1,1.0,25.99
145,104,5,2.0,249.99
146,105,4,1.0,499.0
147,105,6,1.0,899.99
148,105,3,2.0,199.99
149,105,2,1.0,45.5
150,105,4,2.0,499.0
151,106,1,1.0,25.99
152,106,6,1.0,899.99
153,106,2,3.0,45.5
154,106,5,1.0,249.99
155,106,3,1.0,199.99
156,106,1,2.0,25.99
157,107,6,1.0,899.99
158,107,4,1.0,499.0
159,107,5,2.0,249.99
160,107,2,1.0,45.5
161,107,3,1.0,199.99
162,107,6,1.0,899.99
163,107,4,1.0,499.0
164,107,1,1.0,25.99
165,107,5,1.0,249.99
166,107,2,3.0,45.5
167,107,3,2.0,199.99
168,107,6,1.0,899.99
169,107,1,1.0,25.99
170,107,4,2.0,499.0
171,108,2,1.0,45.5
172,108,6,1.0,899.99
173,108,5,1.0,249.99
174,109,3,1.0,199.99
175,110,2,2.0,45.5
176,111,1,2.0,25.99
177,112,6,1.0,899.99
178,113,5,1.0,249.99
179,113,4,1.0,499.0
180,114,1,1.0,25.99
181,114,3,2.0,199.99
182,114,5,1.0,249.99
183,114,6,1.0,899.99
184,115,4,1.0,499.0
185,115,2,1.0,45.5
186,115,1,1.0,25.99
187,115,6,2.0,899.99
188,116,3,1.0,199.99
189,116,5,1.0,249.99
190,117,2,3.0,45.5
191,118,4,1.0,499.0
192,119,1,1.0,25.99
193,119,6,1.0,899.99
194,120,3,2.0,199.99
195,120,5,1.0,249.99
196,120,2,1.0,45.5
197,120,1,1.0,25.99
198,120,6,2.0,899.99
199,121,4,2.0,499.0
200,121,5,1.0,249.99
